Exercise Number,Question Text,Chapter_name
Exercise 3.33,"What would happen if we did not initialize the scores array in the program on page 116? 3.5.3Pointers and Arrays In C++ pointers and arrays are closely intertwined. In particular, as well see, when we use an array, the compiler ordinarily converts the array to a pointer.. Normally, we obtain a pointer to an object by using the address-of operator (S 2.3.2, p. 52). Generally speaking, the address-of operator may be applied to any object. The elements in an array are objects. When we subscript an array, the result is the object at that location in the array. As with any other object, we can obtain a pointer to an array element by taking the address of that element: string nums[] ={""one,""two"",""three""};// arrayofstrings string +p = &nums [o];// p points to the first element in nums However, arrays have a special property-in most places when we use an array, the compiler automatically substitutes a pointer to the first element: string *p2 = nums; //equivalent to p2 = &nums [0] Note In most expressions, when we use an object of array type, we are really using a pointer to the first element in that array.. There are various implications of the fact that operations on arrays are often really operations on pointers. One such implication is that when we use an array as an initializer for a variable defined using auto ($ 2.5.2, p. 68), the deduced type is a pointer, not an array: intia[]={01,2,3,4,5,6,7,8,9};//iaisanarrayoften ints auto ia2 (ia) ; // ia2 is an int that points to the first element in ia ia2=42; // error: ia2 is a pointer, and we can't assign an int to a pointer Although ia is an array of ten ints, when we use ia as an initializer, the compiler treats that initialization as if we had written.","Strings, Vectors, and Arrays"
Exercise 3.34,"Given that p1 and p2 point to elements in the same array, what does the following code do? Are there values of p1 or p2 that make this code illegal? p1 += p2 - pl;","Strings, Vectors, and Arrays"
Exercise 3.35,"Using pointers, write a program to set the elements in an array to zero.","Strings, Vectors, and Arrays"
Exercise 3.36,Write a program to compare two arrays for equality. Write a similar program to compare two vectors.,"Strings, Vectors, and Arrays"
Exercise 3.37,"What does the following program do? const char ca[] ={'h','e','l','l','o'}; const char *cp = ca; while *cp) cout << *cp << endl; ++ Cp ; )","Strings, Vectors, and Arrays"
Exercise 3.38,"In this section, we noted that it was not only illegal but meaningless to. try to add two pointers. Why would adding two pointers be meaningless?","Strings, Vectors, and Arrays"
Exercise 3.39,Write a program to compare two strings. Now write a program to. compare the values of two C-style character strings.,"Strings, Vectors, and Arrays"
Exercise 3.40,"Write a program to define two character arrays initialized from string literals. Now define a third character array to hold the concatenation of the two arrays. Use strcpy and strcat to copy the two arrays into the third. 3.5.5Interfacing to Older Code. Many C++ programs predate the standard library and do not use the st ring and vector types. Moreover, many C++ programs interface to programs written in C or other languages that cannot use the C++ library. Hence, programs written in modern C++ may have to interface to code that uses arrays and/or C-style charac- ter strings. The C++ library offers facilities to make the interface easier to manage. Mixing Library strings and C-Style Strings In S 3.2.1 (p. 84) we saw that we can initialize a st ring from a string literal: string s(""Hello World""); // sholds Hello World More generally, we can use a null-terminated character array anywhere that we can use a string literal: We can use a null-terminated character array to initialize or assign a st ring. We can use a null-terminated character array as one operand (but not both operands) to the string addition operator or as the right-hand operand in the string compound assignment (+=) operator. The reverse functionality is not provided: There is no direct way to use a library. st ring when a C-style string is required. For example, there is no way to initialize a character pointer from a string. There is, however, a string member function named c str that we can often use to accomplish what we want: char +str = s; // error:cant initializea char+froma string const char *str = s.c_str);// ok","Strings, Vectors, and Arrays"
Exercise 3.41,Write a program to initialize a vector from an array of ints..,"Strings, Vectors, and Arrays"
Exercise 3.42,"Write a program to copy a vector of ints into an array of ints. be helpful to keep this fact in mind when you use what appears to be a multidi- mensional array. We define an array whose elements are arrays by providing two dimensions: the dimension of the array itself and the dimension of its elements:. int ia [3] [4] ; //array of size 3; each element is an array of ints of size 4 / /array of size 10; each element is a 20-element array whose elements are arrays of 30 ints int arr [10] [20] [30] ={0}; // initializeall elements to 0 As we saw in $ 3.5.1 (p. 115), we can more easily understand these definitions by reading them from the inside out. We start with the name we're defining (ia) and see that ia is an array of size 3. Continuing to look to the right, we see that the elements of ia also have a dimension. Thus, the elements in ia are themselves arrays of size 4. Looking left, we see that the type of those elements is int. So, ia is an array of size 3, each of whose elements is an array of four ints.. We read the definition for arr in the same way. First we see that arr is an array of size 10. The elements of that array are themselves arrays of size 20. Each of those arrays has 30 elements that are of type int. There is no limit on how many subscripts are used. That is, we can have an array whose elements are arrays of elements that are arrays, and so on. In a two-dimensional array, the first dimension is usually referred to as the row and the second as the column. Initializing the Elements of a Multidimensional Array As with any array, we can initialize the elements of a multidimensional array by providing a bracketed list of initializers. Multidimensional arrays may be initial-. ized by specifying bracketed values for each row: int ia[3] [4] = { I Ithree elements; each element is an array of size 4 {0123} //initializers for the row indexed by 0 {45,6,7} //initializers for the row indexed by 1 {89,10,11}//initializers for the row indexed by2 1{ The nested braces are optional. The following initialization is equivalent, although considerably less clear: / /equivalent initialization without the optional nested braces for each rou. intia[3][4]={0,1,2,3,4,5,6,7,8,9,10,11}; As is the case for single-dimension arrays, elements may be left out of the ini tializer list. We can initialize only the first element of each row as follows:.","Strings, Vectors, and Arrays"
Exercise 3.43,"Write three different versions of a program to print the elements of ia. One version should use a range f or to manage the iteration, the other two should use an ordinary for loop in one case using subscripts and in the other using pointers. In. all three programs write all the types directly. That is, do not use a type alias, auto, or dec1type to simplify the code.","Strings, Vectors, and Arrays"
Exercise 3.44,Rewrite the programs from the previous exercises using a type alias for the type of the loop control variables..,"Strings, Vectors, and Arrays"
Exercise 3.45,"Rewrite the programs again, this time using auto.","Strings, Vectors, and Arrays"
Exercise 4.1,What is the value returned by 5 + 10  20/2?,Expressions
Exercise 4.2,"Using Table 4.12 (p. 166), parenthesize the following expressions to indi- cate the order in which the operands are grouped: (a) * vec.begin() b * vec.begin) + 1 4.1.3Order of Evaluation Precedence specifies how the operands are grouped. It says nothing about the order in which the operands are evaluated. In most cases, the order is largely unspecified. In the following expression inti=fl( * f2; we know that f1 and f2 must be called before the multiplication can be done. Af- ter all, it is their results that are multiplied. However, we have no way of knowing. whether f1 will be called before f2 or vice versa.",Expressions
Exercise 4.3,Order of evaluation for most of the binary operators is left undefined to give the compiler opportunities for optimization. This strategy presents a trade-off between efficient code generation and potential pitfalls in the use of the language by the programmer. Do you consider that an acceptable trade-off? Why or why not?,Expressions
